epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,779.608,1.39572,3.49061,1.51022,0.53112,0.17712,0.13418,0.08196,1.42208,2.48122,1.5267,0.00999728,0.00333243,0.00999728,0.00333243,0.00999728,0.00333243,0.00999728,0.00333243
2,1517.33,1.39474,2.56961,1.4631,0.473,0.22301,0.2048,0.12302,1.40044,2.03352,1.46875,0.0197993,0.00659977,0.0197993,0.00659977,0.0197993,0.00659977,0.0197993,0.00659977
3,2259.13,1.41896,2.51175,1.466,0.57039,0.21624,0.19928,0.11812,1.40131,2.064,1.4649,0.0294033,0.00980111,0.0294033,0.00980111,0.0294033,0.00980111,0.0294033,0.00980111
4,2984.17,1.42183,2.40771,1.46204,0.61049,0.23247,0.24456,0.15385,1.35203,1.8506,1.43975,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,3740.99,1.38509,2.19943,1.43744,0.65441,0.26529,0.27904,0.1759,1.33366,1.67531,1.39069,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,4445.49,1.3528,2.07516,1.41924,0.68724,0.28944,0.31178,0.19707,1.31238,1.55279,1.37943,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,5388.7,1.33604,1.98341,1.40579,0.60607,0.30514,0.32638,0.20962,1.28005,1.4681,1.35667,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,6411.32,1.32652,1.91927,1.39626,0.67686,0.30804,0.34436,0.22095,1.27343,1.41212,1.34406,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,7099.36,1.31277,1.85644,1.385,0.65946,0.32184,0.35669,0.23075,1.2523,1.34485,1.32638,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,7796.51,1.3009,1.80703,1.37368,0.6499,0.35124,0.37899,0.24602,1.2451,1.2791,1.31288,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,9210.91,1.2874,1.76842,1.36754,0.65475,0.34599,0.38169,0.24953,1.22619,1.24792,1.29429,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,9897.87,1.28566,1.73089,1.36394,0.62487,0.34994,0.38754,0.25361,1.22019,1.22377,1.29838,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,12157.8,1.27464,1.69236,1.35617,0.63863,0.36899,0.40155,0.26409,1.21154,1.19001,1.28886,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,12842.3,1.26758,1.67511,1.35286,0.66661,0.36703,0.40977,0.26996,1.20093,1.16365,1.27714,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,13713.7,1.26228,1.64157,1.34539,0.71213,0.36701,0.41234,0.27261,1.2011,1.13556,1.27205,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,14616.5,1.25532,1.62138,1.34101,0.7228,0.36733,0.41948,0.27854,1.18939,1.11046,1.26334,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,15295.6,1.25216,1.58969,1.33937,0.68247,0.38328,0.43515,0.28746,1.18544,1.09292,1.26092,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,15983.3,1.24763,1.58005,1.33411,0.75405,0.37837,0.4332,0.28886,1.17852,1.07355,1.25382,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,16862,1.24056,1.55394,1.32899,0.71885,0.3935,0.439,0.2919,1.17451,1.05955,1.24818,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,19096.4,1.24258,1.54583,1.32885,0.73731,0.39408,0.44168,0.29549,1.16883,1.04156,1.2416,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,19776.1,1.23342,1.52351,1.32316,0.71241,0.39946,0.44767,0.29929,1.16377,1.03022,1.23605,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,20462.6,1.23038,1.51143,1.32083,0.70452,0.40404,0.44905,0.30049,1.16197,1.01981,1.23422,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,21148.9,1.22747,1.49385,1.31916,0.70327,0.40664,0.45358,0.30439,1.15757,1.00975,1.22961,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,23550.5,1.22533,1.48121,1.31552,0.72028,0.40665,0.45376,0.30581,1.15321,0.99824,1.22633,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,24229.8,1.22384,1.46814,1.31225,0.68115,0.40947,0.45242,0.30561,1.15124,0.98955,1.22393,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,24982.5,1.22131,1.45448,1.31184,0.69006,0.41173,0.45614,0.3081,1.1492,0.98201,1.22201,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,25667.7,1.21604,1.444,1.31185,0.68368,0.41659,0.45875,0.31006,1.14671,0.97542,1.21989,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,26688.9,1.21585,1.4322,1.30569,0.6961,0.41674,0.4618,0.31257,1.14365,0.96887,1.21716,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,27370.4,1.20852,1.42154,1.30078,0.67969,0.41713,0.46354,0.31393,1.14212,0.96229,1.21545,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,28048.3,1.20941,1.41424,1.30312,0.70775,0.4161,0.4652,0.31522,1.13989,0.95704,1.21346,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,28722.9,1.20431,1.40408,1.30048,0.68327,0.41947,0.46801,0.31712,1.13794,0.95223,1.21151,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,29373.8,1.20038,1.393,1.2986,0.69084,0.42156,0.46969,0.31837,1.13609,0.94826,1.21011,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,30313.3,1.19571,1.38397,1.29621,0.68838,0.42241,0.47161,0.31962,1.13449,0.94446,1.20885,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,30957.8,1.19847,1.38413,1.29474,0.69583,0.42258,0.47339,0.32089,1.13316,0.94134,1.20765,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,32412.2,1.1977,1.37894,1.29287,0.70149,0.4226,0.47503,0.32216,1.13167,0.93806,1.20609,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,33060.2,1.19621,1.36217,1.29142,0.70281,0.42449,0.47605,0.32296,1.13035,0.93498,1.20472,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,33712.7,1.19425,1.36165,1.28776,0.7003,0.42648,0.47719,0.3236,1.12899,0.93192,1.20352,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,34363.5,1.19009,1.35225,1.286,0.70231,0.42642,0.47804,0.32441,1.1278,0.92923,1.2023,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,35017.4,1.18795,1.34705,1.28363,0.69939,0.42875,0.47889,0.325,1.12667,0.92675,1.20127,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,1172.76,1.21149,1.35061,1.24553,0.66064,0.42801,0.47188,0.32084,1.13259,0.91147,1.14862,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,2355.85,1.21348,1.3613,1.24707,0.66624,0.42829,0.47224,0.32116,1.13246,0.91086,1.14807,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3438.82,1.21514,1.34906,1.24636,0.66863,0.42862,0.47276,0.32135,1.13203,0.91007,1.14751,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4513.05,1.20765,1.34312,1.24546,0.6653,0.42904,0.47314,0.32166,1.13185,0.90898,1.1471,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,5608.58,1.20727,1.33829,1.24359,0.6637,0.43081,0.47331,0.32189,1.13156,0.90768,1.14657,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,6676.41,1.20598,1.32743,1.24307,0.66514,0.43025,0.47388,0.32227,1.13121,0.90647,1.14606,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7723.81,1.20023,1.31414,1.24228,0.68655,0.43049,0.47397,0.32254,1.13084,0.90538,1.14572,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,8769.85,1.19643,1.3082,1.23901,0.68812,0.43033,0.47439,0.32288,1.13015,0.90398,1.14522,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,9824.07,1.19688,1.30454,1.24003,0.68971,0.42928,0.4751,0.32341,1.12977,0.90258,1.1449,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10883.9,1.19673,1.29529,1.23751,0.69078,0.43001,0.476,0.32395,1.12928,0.90107,1.14437,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,11941.8,1.19198,1.29014,1.23505,0.69097,0.43049,0.47607,0.32408,1.12889,0.89989,1.14394,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,13006.2,1.18934,1.28219,1.23511,0.69121,0.4308,0.47642,0.32428,1.1286,0.89846,1.14359,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,14046.4,1.19191,1.28552,1.2357,0.66615,0.43175,0.4767,0.325,1.12792,0.8971,1.14311,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,15050.7,1.1872,1.27611,1.23141,0.66443,0.43207,0.4772,0.32549,1.1273,0.8956,1.14254,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,16051.5,1.18333,1.27121,1.23273,0.65893,0.43483,0.47757,0.32582,1.12689,0.89427,1.14206,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,17056.4,1.18003,1.2582,1.22935,0.66087,0.43493,0.47815,0.32629,1.12635,0.89281,1.14147,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,18056.2,1.17996,1.25033,1.22859,0.66599,0.43451,0.47849,0.32653,1.12574,0.89141,1.14095,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,19052.7,1.17838,1.25083,1.2276,0.6642,0.43579,0.47921,0.32701,1.12513,0.88991,1.1405,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,20057.1,1.18282,1.24085,1.22623,0.66521,0.43575,0.47953,0.32737,1.12444,0.88853,1.13969,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,21064.8,1.17406,1.23526,1.22528,0.66782,0.43547,0.47978,0.32766,1.12371,0.88728,1.13912,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,22065.5,1.1713,1.22662,1.22158,0.66319,0.43635,0.4804,0.32811,1.12295,0.88564,1.13845,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,23068.2,1.17145,1.22658,1.22249,0.65957,0.43713,0.48093,0.32863,1.12215,0.88411,1.13787,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,24077.7,1.16762,1.21014,1.21855,0.66028,0.43764,0.48152,0.32912,1.12127,0.88255,1.13721,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,25145.6,1.16362,1.21136,1.22119,0.68262,0.43765,0.48216,0.32978,1.12044,0.88106,1.13657,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,26199.1,1.16522,1.20395,1.21888,0.68841,0.43755,0.48258,0.33024,1.1195,0.87938,1.13582,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,27236.8,1.16626,1.19865,1.21308,0.69196,0.43713,0.48338,0.33087,1.11854,0.87791,1.1351,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,28235.6,1.15801,1.18684,1.21399,0.69056,0.43816,0.48416,0.33136,1.11764,0.87636,1.13445,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,29236.3,1.15882,1.18495,1.21327,0.66756,0.44085,0.48458,0.33176,1.11665,0.87478,1.1337,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,30273.9,1.1555,1.1815,1.21018,0.67025,0.44039,0.48536,0.33254,1.11579,0.8733,1.13301,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,31390.2,1.14977,1.16785,1.21098,0.66989,0.44163,0.48567,0.33286,1.11474,0.87174,1.13221,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,32526.4,1.15133,1.16575,1.20921,0.66934,0.44327,0.48643,0.33342,1.11379,0.86994,1.13149,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,33628.4,1.14839,1.16679,1.20788,0.67057,0.4448,0.48724,0.33407,1.11288,0.86813,1.13067,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,34716.8,1.14517,1.15502,1.20495,0.66979,0.44551,0.48771,0.33461,1.1121,0.86626,1.12985,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,35813.6,1.14634,1.14733,1.2056,0.66646,0.44713,0.48813,0.33503,1.11115,0.86468,1.12905,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,36933,1.13819,1.14218,1.20262,0.66876,0.44743,0.48861,0.33554,1.11017,0.86288,1.12809,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,37970.4,1.13689,1.13431,1.20256,0.67257,0.44764,0.48896,0.336,1.10924,0.86126,1.12736,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,39025.2,1.13331,1.12958,1.20033,0.66575,0.44836,0.48924,0.33634,1.10826,0.85974,1.12663,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,40076.1,1.1327,1.13155,1.19841,0.66885,0.44844,0.4896,0.33674,1.10729,0.85819,1.12574,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,41127.4,1.12789,1.12371,1.19794,0.67082,0.44895,0.48991,0.33722,1.1064,0.85671,1.12499,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,42223.1,1.1282,1.12045,1.19602,0.67096,0.45008,0.49065,0.33796,1.1054,0.85516,1.12425,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,43268.6,1.12824,1.11063,1.19548,0.67121,0.45022,0.49121,0.33847,1.10442,0.85364,1.12343,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,44321.7,1.12552,1.10538,1.19639,0.67169,0.45017,0.49125,0.33888,1.1035,0.85214,1.12271,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,45385.9,1.12359,1.09693,1.19387,0.6722,0.44999,0.49144,0.3393,1.10253,0.85087,1.12197,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,46432.2,1.12065,1.0944,1.19228,0.67465,0.4507,0.49196,0.33975,1.1016,0.84935,1.12125,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,47480.5,1.11725,1.08748,1.18899,0.67619,0.45247,0.49242,0.34032,1.10038,0.84795,1.12044,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,48522.7,1.11003,1.07624,1.18823,0.67754,0.4529,0.49277,0.34077,1.09933,0.8467,1.11968,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,49567.9,1.10992,1.07288,1.18741,0.67615,0.45456,0.49311,0.34111,1.09822,0.84525,1.11887,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,50612,1.1114,1.07171,1.18714,0.6787,0.45454,0.49347,0.34172,1.09718,0.84377,1.11814,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,51657.3,1.10805,1.06146,1.18417,0.67932,0.45466,0.49375,0.34208,1.096,0.84236,1.11723,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,52704.4,1.10247,1.05662,1.18329,0.67724,0.45504,0.49417,0.34249,1.09493,0.841,1.11641,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,53746.9,1.10012,1.04962,1.18084,0.68077,0.45536,0.49464,0.34299,1.09391,0.83962,1.11565,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,54715.7,1.09125,0.92762,1.18244,0.68677,0.45559,0.49509,0.34354,1.09272,0.8381,1.11457,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,55687.1,1.08496,0.91302,1.17895,0.68894,0.45593,0.49556,0.344,1.09162,0.83678,1.11361,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,56656.3,1.08006,0.89529,1.17404,0.68952,0.45579,0.49576,0.34423,1.09041,0.83546,1.11264,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,57627.1,1.07513,0.89317,1.17056,0.68988,0.45606,0.49593,0.34464,1.08932,0.83413,1.11168,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,58599.6,1.06927,0.88161,1.17014,0.69094,0.4564,0.49679,0.34533,1.08814,0.8329,1.11075,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,59572.4,1.06743,0.87275,1.16788,0.69101,0.45627,0.49726,0.34572,1.08695,0.83154,1.10981,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,60542,1.06007,0.8674,1.16609,0.68775,0.45685,0.49743,0.34607,1.0858,0.83029,1.10884,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,61514,1.05899,0.86042,1.16298,0.68763,0.45667,0.49795,0.34658,1.08473,0.82899,1.10784,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,62485.6,1.05357,0.85434,1.1618,0.68512,0.45724,0.49839,0.34695,1.08353,0.82774,1.1069,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
